lambda,P_MPa
1.1232147609332028,0.12915816552825277
1.245719861616251,0.21724474407877192
1.3856116384281023,0.30479907744167445
1.5863567816907655,0.3904905526479201
1.9001153197906504,0.4727224341346581
2.179100505632928,0.5560188059966285
2.4233123392176,0.640379668233833
3.024749401224164,0.8056417989887343
3.5740264348443187,0.9725006653064838
4.0363700878204565,1.1420207575623156
4.7698039563558945,1.486915639137762
5.364055708329638,1.8258671161181592
5.758360684822143,2.170939412756142
6.170229752505988,2.5358821963984735
6.399272598243592,2.8758094562228322
6.619888228510602,3.246606936928945
6.875277211035217,3.6163399272598244
7.0781513350483465,3.9468641887696254
7.185664862946866,4.310919897099263
7.2844850527809815,4.6752417280227085
7.435465271001509,5.037966823383305
7.5341967533043555,5.392087288210769
7.644815044797304,6.11319080989976
